NAME                    TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)        AGE     SELECTOR
adservice               ClusterIP      10.96.218.62    <none>        9555/TCP       6h8m    app=adservice
cartservice             ClusterIP      10.96.16.145    <none>        7070/TCP       6h8m    app=cartservice
checkoutservice         ClusterIP      10.96.95.53     <none>        5050/TCP       6h8m    app=checkoutservice
currencyservice         ClusterIP      10.96.49.180    <none>        7000/TCP       6h8m    app=currencyservice
emailservice            ClusterIP      10.96.62.15     <none>        5000/TCP       6h8m    app=emailservice
frontend                ClusterIP      10.96.85.131    <none>        80/TCP         6h9m    app=frontend
frontend-external       LoadBalancer   10.96.139.227   <pending>     80:32718/TCP   6h9m    app=frontend
paymentservice          ClusterIP      10.96.7.137     <none>        50051/TCP      6h8m    app=paymentservice
pg-postgresql           ClusterIP      10.96.204.132   <none>        5432/TCP       5h46m   app.kubernetes.io/component=primary,app.kubernetes.io/instance=pg,app.kubernetes.io/name=postgresql
pg-postgresql-hl        ClusterIP      None            <none>        5432/TCP       5h46m   app.kubernetes.io/component=primary,app.kubernetes.io/instance=pg,app.kubernetes.io/name=postgresql
productcatalogservice   ClusterIP      10.96.139.42    <none>        3550/TCP       6h8m    app=productcatalogservice
recommendationservice   ClusterIP      10.96.78.115    <none>        8080/TCP       6h8m    app=recommendationservice
redis-cart              ClusterIP      10.96.157.149   <none>        6379/TCP       6h8m    app=redis-cart
redis-headless          ClusterIP      None            <none>        6379/TCP       5h45m   app.kubernetes.io/instance=redis,app.kubernetes.io/name=redis
redis-master            ClusterIP      10.96.83.10     <none>        6379/TCP       5h45m   app.kubernetes.io/component=master,app.kubernetes.io/instance=redis,app.kubernetes.io/name=redis
redis-replicas          ClusterIP      10.96.239.156   <none>        6379/TCP       5h45m   app.kubernetes.io/component=replica,app.kubernetes.io/instance=redis,app.kubernetes.io/name=redis
shippingservice         ClusterIP      10.96.158.246   <none>        50051/TCP      6h8m    app=shippingservice
